technology,value,unit,year
BESS_12hr,3816,$/kW,2024
BESS_12hr,3720,$/kW,2025
BESS_12hr,3624,$/kW,2026
BESS_12hr,3564,$/kW,2027
BESS_12hr,3492,$/kW,2028
BESS_12hr,3456,$/kW,2029
BESS_12hr,3336,$/kW,2030
BESS_12hr,3216,$/kW,2031
BESS_12hr,3132,$/kW,2032
BESS_12hr,3036,$/kW,2033
BESS_12hr,2964,$/kW,2034
BESS_12hr,2880,$/kW,2035
BESS_12hr,2808,$/kW,2036
BESS_12hr,2736,$/kW,2037
BESS_12hr,2664,$/kW,2038
BESS_12hr,2592,$/kW,2039
BESS_12hr,2568,$/kW,2040
BESS_12hr,2556,$/kW,2041
BESS_12hr,2544,$/kW,2042
BESS_12hr,2520,$/kW,2043
BESS_12hr,2520,$/kW,2044
BESS_12hr,2508,$/kW,2045
BESS_12hr,2496,$/kW,2046
BESS_12hr,2484,$/kW,2047
BESS_12hr,2484,$/kW,2048
BESS_12hr,2472,$/kW,2049
BESS_12hr,2472,$/kW,2050
BESS_12hr,2472,$/kW,2051
BESS_12hr,2460,$/kW,2052
BESS_12hr,2460,$/kW,2053
BESS_12hr,2448,$/kW,2054
BESS_12hr,2448,$/kW,2055
BESS_1hr,910,$/kW,2024
BESS_1hr,889,$/kW,2025
BESS_1hr,864,$/kW,2026
BESS_1hr,848,$/kW,2027
BESS_1hr,833,$/kW,2028
BESS_1hr,824,$/kW,2029
BESS_1hr,780,$/kW,2030
BESS_1hr,737,$/kW,2031
BESS_1hr,724,$/kW,2032
BESS_1hr,709,$/kW,2033
BESS_1hr,696,$/kW,2034
BESS_1hr,685,$/kW,2035
BESS_1hr,674,$/kW,2036
BESS_1hr,664,$/kW,2037
BESS_1hr,654,$/kW,2038
BESS_1hr,644,$/kW,2039
BESS_1hr,640,$/kW,2040
BESS_1hr,636,$/kW,2041
BESS_1hr,633,$/kW,2042
BESS_1hr,630,$/kW,2043
BESS_1hr,628,$/kW,2044
BESS_1hr,625,$/kW,2045
BESS_1hr,623,$/kW,2046
BESS_1hr,621,$/kW,2047
BESS_1hr,619,$/kW,2048
BESS_1hr,618,$/kW,2049
BESS_1hr,617,$/kW,2050
BESS_1hr,617,$/kW,2051
BESS_1hr,613,$/kW,2052
BESS_1hr,613,$/kW,2053
BESS_1hr,611,$/kW,2054
BESS_1hr,611,$/kW,2055
BESS_24hr,7008,$/kW,2024
BESS_24hr,6840,$/kW,2025
BESS_24hr,6672,$/kW,2026
BESS_24hr,6552,$/kW,2027
BESS_24hr,6432,$/kW,2028
BESS_24hr,6336,$/kW,2029
BESS_24hr,6144,$/kW,2030
BESS_24hr,5952,$/kW,2031
BESS_24hr,5784,$/kW,2032
BESS_24hr,5616,$/kW,2033
BESS_24hr,5448,$/kW,2034
BESS_24hr,5304,$/kW,2035
BESS_24hr,5160,$/kW,2036
BESS_24hr,5016,$/kW,2037
BESS_24hr,4872,$/kW,2038
BESS_24hr,4728,$/kW,2039
BESS_24hr,4704,$/kW,2040
BESS_24hr,4680,$/kW,2041
BESS_24hr,4656,$/kW,2042
BESS_24hr,4632,$/kW,2043
BESS_24hr,4608,$/kW,2044
BESS_24hr,4584,$/kW,2045
BESS_24hr,4560,$/kW,2046
BESS_24hr,4560,$/kW,2047
BESS_24hr,4536,$/kW,2048
BESS_24hr,4536,$/kW,2049
BESS_24hr,4512,$/kW,2050
BESS_24hr,4512,$/kW,2051
BESS_24hr,4512,$/kW,2052
BESS_24hr,4512,$/kW,2053
BESS_24hr,4488,$/kW,2054
BESS_24hr,4488,$/kW,2055
BESS_2hr,1216,$/kW,2024
BESS_2hr,1186,$/kW,2025
BESS_2hr,1154,$/kW,2026
BESS_2hr,1134,$/kW,2027
BESS_2hr,1114,$/kW,2028
BESS_2hr,1100,$/kW,2029
BESS_2hr,1050,$/kW,2030
BESS_2hr,998,$/kW,2031
BESS_2hr,978,$/kW,2032
BESS_2hr,956,$/kW,2033
BESS_2hr,934,$/kW,2034
BESS_2hr,916,$/kW,2035
BESS_2hr,898,$/kW,2036
BESS_2hr,882,$/kW,2037
BESS_2hr,866,$/kW,2038
BESS_2hr,850,$/kW,2039
BESS_2hr,844,$/kW,2040
BESS_2hr,838,$/kW,2041
BESS_2hr,834,$/kW,2042
BESS_2hr,830,$/kW,2043
BESS_2hr,826,$/kW,2044
BESS_2hr,824,$/kW,2045
BESS_2hr,820,$/kW,2046
BESS_2hr,818,$/kW,2047
BESS_2hr,816,$/kW,2048
BESS_2hr,814,$/kW,2049
BESS_2hr,812,$/kW,2050
BESS_2hr,812,$/kW,2051
BESS_2hr,808,$/kW,2052
BESS_2hr,808,$/kW,2053
BESS_2hr,804,$/kW,2054
BESS_2hr,804,$/kW,2055
BESS_4hr,1692,$/kW,2024
BESS_4hr,1652,$/kW,2025
BESS_4hr,1608,$/kW,2026
BESS_4hr,1580,$/kW,2027
BESS_4hr,1552,$/kW,2028
BESS_4hr,1532,$/kW,2029
BESS_4hr,1468,$/kW,2030
BESS_4hr,1404,$/kW,2031
BESS_4hr,1372,$/kW,2032
BESS_4hr,1336,$/kW,2033
BESS_4hr,1304,$/kW,2034
BESS_4hr,1276,$/kW,2035
BESS_4hr,1248,$/kW,2036
BESS_4hr,1220,$/kW,2037
BESS_4hr,1196,$/kW,2038
BESS_4hr,1168,$/kW,2039
BESS_4hr,1160,$/kW,2040
BESS_4hr,1152,$/kW,2041
BESS_4hr,1148,$/kW,2042
BESS_4hr,1140,$/kW,2043
BESS_4hr,1136,$/kW,2044
BESS_4hr,1132,$/kW,2045
BESS_4hr,1128,$/kW,2046
BESS_4hr,1124,$/kW,2047
BESS_4hr,1120,$/kW,2048
BESS_4hr,1116,$/kW,2049
BESS_4hr,1116,$/kW,2050
BESS_4hr,1116,$/kW,2051
BESS_4hr,1112,$/kW,2052
BESS_4hr,1112,$/kW,2053
BESS_4hr,1108,$/kW,2054
BESS_4hr,1108,$/kW,2055
BESS_8hr,2752,$/kW,2024
BESS_8hr,2688,$/kW,2025
BESS_8hr,2616,$/kW,2026
BESS_8hr,2568,$/kW,2027
BESS_8hr,2520,$/kW,2028
BESS_8hr,2488,$/kW,2029
BESS_8hr,2400,$/kW,2030
BESS_8hr,2304,$/kW,2031
BESS_8hr,2248,$/kW,2032
BESS_8hr,2192,$/kW,2033
BESS_8hr,2136,$/kW,2034
BESS_8hr,2080,$/kW,2035
BESS_8hr,2032,$/kW,2036
BESS_8hr,1976,$/kW,2037
BESS_8hr,1928,$/kW,2038
BESS_8hr,1880,$/kW,2039
BESS_8hr,1872,$/kW,2040
BESS_8hr,1856,$/kW,2041
BESS_8hr,1848,$/kW,2042
BESS_8hr,1840,$/kW,2043
BESS_8hr,1832,$/kW,2044
BESS_8hr,1824,$/kW,2045
BESS_8hr,1816,$/kW,2046
BESS_8hr,1808,$/kW,2047
BESS_8hr,1800,$/kW,2048
BESS_8hr,1800,$/kW,2049
BESS_8hr,1800,$/kW,2050
BESS_8hr,1800,$/kW,2051
BESS_8hr,1792,$/kW,2052
BESS_8hr,1792,$/kW,2053
BESS_8hr,1784,$/kW,2054
BESS_8hr,1784,$/kW,2055
CCGT,2455,$/kW,2024
CCGT,2300,$/kW,2025
CCGT,2144,$/kW,2026
CCGT,2034,$/kW,2027
CCGT,1977,$/kW,2028
CCGT,1973,$/kW,2029
CCGT,1969,$/kW,2030
CCGT,1966,$/kW,2031
CCGT,1962,$/kW,2032
CCGT,1959,$/kW,2033
CCGT,1955,$/kW,2034
CCGT,1952,$/kW,2035
CCGT,1948,$/kW,2036
CCGT,1945,$/kW,2037
CCGT,1942,$/kW,2038
CCGT,1939,$/kW,2039
CCGT,1935,$/kW,2040
CCGT,1930,$/kW,2041
CCGT,1924,$/kW,2042
CCGT,1918,$/kW,2043
CCGT,1913,$/kW,2044
CCGT,1907,$/kW,2045
CCGT,1902,$/kW,2046
CCGT,1896,$/kW,2047
CCGT,1891,$/kW,2048
CCGT,1885,$/kW,2049
CCGT,1882,$/kW,2050
CCGT,1875,$/kW,2051
CCGT,1871,$/kW,2052
CCGT,1862,$/kW,2053
CCGT,1858,$/kW,2054
CCGT,1853,$/kW,2055
Gas_CCS,5802,$/kW,2024
Gas_CCS,5404,$/kW,2025
Gas_CCS,5025,$/kW,2026
Gas_CCS,4765,$/kW,2027
Gas_CCS,4634,$/kW,2028
Gas_CCS,4624,$/kW,2029
Gas_CCS,4617,$/kW,2030
Gas_CCS,4614,$/kW,2031
Gas_CCS,4611,$/kW,2032
Gas_CCS,4610,$/kW,2033
Gas_CCS,4605,$/kW,2034
Gas_CCS,4601,$/kW,2035
Gas_CCS,4586,$/kW,2036
Gas_CCS,4565,$/kW,2037
Gas_CCS,4537,$/kW,2038
Gas_CCS,4510,$/kW,2039
Gas_CCS,4486,$/kW,2040
Gas_CCS,4460,$/kW,2041
Gas_CCS,4440,$/kW,2042
Gas_CCS,4419,$/kW,2043
Gas_CCS,4395,$/kW,2044
Gas_CCS,4367,$/kW,2045
Gas_CCS,4340,$/kW,2046
Gas_CCS,4312,$/kW,2047
Gas_CCS,4289,$/kW,2048
Gas_CCS,4268,$/kW,2049
Gas_CCS,4257,$/kW,2050
Gas_CCS,4242,$/kW,2051
Gas_CCS,4233,$/kW,2052
Gas_CCS,4216,$/kW,2053
Gas_CCS,4208,$/kW,2054
Gas_CCS,4200,$/kW,2055
GAS_RECIP,1980,$/kW,2024
GAS_RECIP,1982,$/kW,2025
GAS_RECIP,1984,$/kW,2026
GAS_RECIP,1980,$/kW,2027
GAS_RECIP,1976,$/kW,2028
GAS_RECIP,1972,$/kW,2029
GAS_RECIP,1968,$/kW,2030
GAS_RECIP,1965,$/kW,2031
GAS_RECIP,1961,$/kW,2032
