technology,variable,value,unit,year,type
CCGT,Economiclife,25,Years,2025,Generation
CCGT,Constructiontime,1.5,Years,2025,Generation
CCGT,Efficiency,0.51,%,2025,Generation
CCGT,FOM,15,$/kW,2025,Generation
CCGT,VOM,4.1,$/MWh,2025,Generation
CCGT,CCS,0,$/MWh,2025,Generation
CCGT,Fuel_low,13.5,$/GJ,2025,Generation
CCGT,CF_low,0.89,%,2025,Generation
CCGT,Fuel_high,19.8,$/GJ,2025,Generation
CCGT,CF_high,0.53,%,2025,Generation
CCGT,Economiclife,25,Years,2030,Generation
CCGT,Constructiontime,1.5,Years,2030,Generation
CCGT,Efficiency,0.51,%,2030,Generation
CCGT,FOM,15,$/kW,2030,Generation
CCGT,VOM,4.1,$/MWh,2030,Generation
CCGT,CCS,0,$/MWh,2030,Generation
CCGT,Fuel_low,8,$/GJ,2030,Generation
CCGT,CF_low,0.89,%,2030,Generation
CCGT,Fuel_high,14.4,$/GJ,2030,Generation
CCGT,CF_high,0.53,%,2030,Generation
CCGT,Economiclife,25,Years,2040,Generation
CCGT,Constructiontime,1.5,Years,2040,Generation
CCGT,Efficiency,0.51,%,2040,Generation
CCGT,FOM,15,$/kW,2040,Generation
CCGT,VOM,4.1,$/MWh,2040,Generation
CCGT,CCS,0,$/MWh,2040,Generation
CCGT,Fuel_low,7.9,$/GJ,2040,Generation
CCGT,CF_low,0.89,%,2040,Generation
CCGT,Fuel_high,15.8,$/GJ,2040,Generation
CCGT,CF_high,0.53,%,2040,Generation
CCGT,Economiclife,25,Years,2050,Generation
CCGT,Constructiontime,1.5,Years,2050,Generation
CCGT,Efficiency,0.51,%,2050,Generation
CCGT,FOM,15,$/kW,2050,Generation
CCGT,VOM,4.1,$/MWh,2050,Generation
CCGT,CCS,0,$/MWh,2050,Generation
CCGT,Fuel_low,7.9,$/GJ,2050,Generation
CCGT,CF_low,0.89,%,2050,Generation
CCGT,Fuel_high,15.8,$/GJ,2050,Generation
CCGT,CF_high,0.53,%,2050,Generation
Gas_CCS,Economiclife,25,Years,2025,Generation
Gas_CCS,Constructiontime,1.5,Years,2025,Generation
Gas_CCS,Efficiency,0.44,%,2025,Generation
Gas_CCS,FOM,22.5,$/kW,2025,Generation
Gas_CCS,VOM,8,$/MWh,2025,Generation
Gas_CCS,CCS,1.9,$/MWh,2025,Generation
Gas_CCS,Fuel_low,13.5,$/GJ,2025,Generation
Gas_CCS,CF_low,0.89,%,2025,Generation
Gas_CCS,Fuel_high,19.8,$/GJ,2025,Generation
Gas_CCS,CF_high,0.53,%,2025,Generation
Gas_CCS,Economiclife,25,Years,2030,Generation
Gas_CCS,Constructiontime,1.5,Years,2030,Generation
Gas_CCS,Efficiency,0.44,%,2030,Generation
Gas_CCS,FOM,22.5,$/kW,2030,Generation
Gas_CCS,VOM,8,$/MWh,2030,Generation
Gas_CCS,CCS,1.9,$/MWh,2030,Generation
Gas_CCS,Fuel_low,8,$/GJ,2030,Generation
