DATETIME,SOLAR_TRACE
1/01/2019 0:00,0
1/01/2019 1:00,0
1/01/2019 2:00,0
1/01/2019 3:00,0
1/01/2019 4:00,0
1/01/2019 5:00,0.012
1/01/2019 6:00,0.103
1/01/2019 7:00,0.291
1/01/2019 8:00,0.423
1/01/2019 9:00,0.544
1/01/2019 10:00,0.638
1/01/2019 11:00,0.676
1/01/2019 12:00,0.676
1/01/2019 13:00,0.636
1/01/2019 14:00,0.552
1/01/2019 15:00,0.427
1/01/2019 16:00,0.266
1/01/2019 17:00,0.099
1/01/2019 18:00,0.011
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0
1/01/2019 23:00,0
2/01/2019 0:00,0
2/01/2019 1:00,0
2/01/2019 2:00,0
2/01/2019 3:00,0
2/01/2019 4:00,0
2/01/2019 5:00,0.012
2/01/2019 6:00,0.103
2/01/2019 7:00,0.291
2/01/2019 8:00,0.459
2/01/2019 9:00,0.581
2/01/2019 10:00,0.658
2/01/2019 11:00,0.694
2/01/2019 12:00,0.689
2/01/2019 13:00,0.643
2/01/2019 14:00,0.557
2/01/2019 15:00,0.431
2/01/2019 16:00,0.27
2/01/2019 17:00,0.098
2/01/2019 18:00,0.009
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0
2/01/2019 23:00,0
3/01/2019 0:00,0
3/01/2019 1:00,0
3/01/2019 2:00,0
3/01/2019 3:00,0
3/01/2019 4:00,0
3/01/2019 5:00,0.011
3/01/2019 6:00,0.102
3/01/2019 7:00,0.298
3/01/2019 8:00,0.473
3/01/2019 9:00,0.602
3/01/2019 10:00,0.684
3/01/2019 11:00,0.72
3/01/2019 12:00,0.713
3/01/2019 13:00,0.666
3/01/2019 14:00,0.577
3/01/2019 15:00,0.446
3/01/2019 16:00,0.278
3/01/2019 17:00,0.1
3/01/2019 18:00,0.01
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0
3/01/2019 23:00,0
4/01/2019 0:00,0
4/01/2019 1:00,0
4/01/2019 2:00,0
4/01/2019 3:00,0
4/01/2019 4:00,0
4/01/2019 5:00,0.013
4/01/2019 6:00,0.107
4/01/2019 7:00,0.28
4/01/2019 8:00,0.442
4/01/2019 9:00,0.573
4/01/2019 10:00,0.66
4/01/2019 11:00,0.699
4/01/2019 12:00,0.693
4/01/2019 13:00,0.641
4/01/2019 14:00,0.553
4/01/2019 15:00,0.43
4/01/2019 16:00,0.273
4/01/2019 17:00,0.108
4/01/2019 18:00,0.012
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0
4/01/2019 23:00,0
5/01/2019 0:00,0
5/01/2019 1:00,0
5/01/2019 2:00,0
5/01/2019 3:00,0
5/01/2019 4:00,0
5/01/2019 5:00,0.014
5/01/2019 6:00,0.109
5/01/2019 7:00,0.288
5/01/2019 8:00,0.434
5/01/2019 9:00,0.542
5/01/2019 10:00,0.602
5/01/2019 11:00,0.644
5/01/2019 12:00,0.649
5/01/2019 13:00,0.62
5/01/2019 14:00,0.54
5/01/2019 15:00,0.414
5/01/2019 16:00,0.26
5/01/2019 17:00,0.106
5/01/2019 18:00,0.009
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0
5/01/2019 23:00,0
6/01/2019 0:00,0
6/01/2019 1:00,0
6/01/2019 2:00,0
6/01/2019 3:00,0
6/01/2019 4:00,0
