DATETIME,WIND_TRACE
1/01/2019 0:00,0.538
1/01/2019 1:00,0.413
1/01/2019 2:00,0.266
1/01/2019 3:00,0.172
1/01/2019 4:00,0.152
1/01/2019 5:00,0.188
1/01/2019 6:00,0.213
1/01/2019 7:00,0.124
1/01/2019 8:00,0.063
1/01/2019 9:00,0.653
1/01/2019 10:00,0.618
1/01/2019 11:00,0.613
1/01/2019 12:00,0.569
1/01/2019 13:00,0.516
1/01/2019 14:00,0.513
1/01/2019 15:00,0.563
1/01/2019 16:00,0.619
1/01/2019 17:00,0.645
1/01/2019 18:00,0.654
1/01/2019 19:00,0.753
1/01/2019 20:00,0.77
1/01/2019 21:00,0.728
1/01/2019 22:00,0.641
1/01/2019 23:00,0.538
2/01/2019 0:00,0.413
2/01/2019 1:00,0.266
2/01/2019 2:00,0.172
2/01/2019 3:00,0.152
2/01/2019 4:00,0.188
2/01/2019 5:00,0.213
2/01/2019 6:00,0.124
2/01/2019 7:00,0.063
2/01/2019 8:00,0
2/01/2019 9:00,0.005
2/01/2019 10:00,0.088
2/01/2019 11:00,0.207
2/01/2019 12:00,0.334
2/01/2019 13:00,0.466
2/01/2019 14:00,0.618
2/01/2019 15:00,0.77
2/01/2019 16:00,0.85
2/01/2019 17:00,0.873
2/01/2019 18:00,0.834
2/01/2019 19:00,0.787
2/01/2019 20:00,0.785
2/01/2019 21:00,0.771
2/01/2019 22:00,0.72
2/01/2019 23:00,0.675
3/01/2019 0:00,0.603
3/01/2019 1:00,0.535
3/01/2019 2:00,0.488
3/01/2019 3:00,0.454
3/01/2019 4:00,0.41
3/01/2019 5:00,0.346
3/01/2019 6:00,0.395
3/01/2019 7:00,0.249
3/01/2019 8:00,0.086
3/01/2019 9:00,0.054
3/01/2019 10:00,0.069
3/01/2019 11:00,0.096
3/01/2019 12:00,0.14
3/01/2019 13:00,0.2
3/01/2019 14:00,0.251
3/01/2019 15:00,0.283
3/01/2019 16:00,0.306
3/01/2019 17:00,0.328
3/01/2019 18:00,0.428
3/01/2019 19:00,0.644
3/01/2019 20:00,0.722
3/01/2019 21:00,0.728
3/01/2019 22:00,0.721
3/01/2019 23:00,0.718
4/01/2019 0:00,0.724
4/01/2019 1:00,0.75
4/01/2019 2:00,0.831
4/01/2019 3:00,0.831
4/01/2019 4:00,0.77
4/01/2019 5:00,0.783
4/01/2019 6:00,0.846
4/01/2019 7:00,0.808
4/01/2019 8:00,0.711
4/01/2019 9:00,0.547
4/01/2019 10:00,0.364
4/01/2019 11:00,0.251
4/01/2019 12:00,0.205
4/01/2019 13:00,0.215
4/01/2019 14:00,0.26
4/01/2019 15:00,0.332
4/01/2019 16:00,0.417
4/01/2019 17:00,0.538
4/01/2019 18:00,0.679
4/01/2019 19:00,0.704
4/01/2019 20:00,0.7
4/01/2019 21:00,0.704
4/01/2019 22:00,0.675
4/01/2019 23:00,0.631
5/01/2019 0:00,0.601
5/01/2019 1:00,0.583
5/01/2019 2:00,0.58
5/01/2019 3:00,0.578
5/01/2019 4:00,0.567
5/01/2019 5:00,0.652
5/01/2019 6:00,0.856
5/01/2019 7:00,0.831
5/01/2019 8:00,0.73
5/01/2019 9:00,0.59
5/01/2019 10:00,0.434
