Timestamp,Solar_kW,Wind_kW,Battery_kW,Diesel_kW,Gas_Engines_kW,Load_Output_kW,Battery_Percent,Renewable_Percent
13/02/2025 22:49,-11,8754,-335,0,10279,18118,55.5,47.9
13/02/2025 22:50,-11,8374,-98,0,10713,18351,55.5,44.3
13/02/2025 22:51,-13,9097,-907,0,10495,18457,55.5,51
13/02/2025 22:52,-11,8901,-508,0,10044,18271,55.83333333,50.8
13/02/2025 22:56,-12,9011,-657,0,9530,17951,56.5,52.3
13/02/2025 23:15,-14,8893,-318,0,8514,17830,58.7,56.6
13/02/2025 23:15,-14,10217,-8,0,8072,17768,58.66666667,58.9
13/02/2025 23:16,-14,10024,-4,0,8686,18071,58.3,53.8
13/02/2025 23:17,-14,10792,-67,0,7567,17742,58.3,61.8
13/02/2025 23:17,-14,10792,249,0,7584,17628,58.3,60.7
13/02/2025 23:22,-14,9238,4,0,8859,18182,58,51.7
13/02/2025 23:26,0,9914,426,0,9128,17803,57.5,48
15/02/2025 10:16,791,14111,-295,0,2073,17108,67.7,90.6
15/02/2025 10:21,72,15315,-279,0,2044,16983,68.2,91
15/02/2025 10:26,698,15124,-373,0,2043,17208,68.7,89.7
15/02/2025 10:32,510,15260,-260,0,2044,17607,69.7,91
15/02/2025 10:37,298,15518,-496,0,2047,17218,69.7,92.8
15/02/2025 10:42,203,15547,-473,0,2036,17119,70.7,92
15/02/2025 10:47,91,15879,-296,0,2062,17439,71.7,91.6
15/02/2025 10:52,97,15588,-393,0,2067,17435,72.3,91.2
15/02/2025 10:57,245,15496,-512,0,2047,17321,73,91.9
15/02/2025 11:02,452,14835,-372,0,2042,16839,73.7,91.4
15/02/2025 11:07,131,15413,-304,0,2047,17075,74.7,91.2
15/02/2025 11:12,1284,14245,-250,0,2043,16966,75.2,90.5
15/02/2025 11:17,879,14843,-223,0,2072,17274,75.3,94.8
15/02/2025 11:22,736,15085,-265,0,2055,17403,76.3,91.1
15/02/2025 11:27,858,14913,-670,0,1989,17460,77.3,94.1
15/02/2025 11:32,1119,15980,-104,0,2037,17746,78,91.6
15/02/2025 11:37,244,15986,-312,0,2035,17889,78.7,91.6
15/02/2025 11:42,104,16230,-288,0,2049,17490,79.2,92.4
15/02/2025 11:47,140,16054,-326,0,2048,17845,80.2,91
15/02/2025 11:52,115,15894,-274,0,2023,17493,80.5,91
21/02/2025 23:54,0,-153,-30,0,17262,16407,61.5,0
22/02/2025 13:47,3184,5111,177,0,9703,17699,67.8,48
22/02/2025 13:47,3184,5111,116,0,9714,17716,67.8,48.3
22/02/2025 13:52,3181,6526,192,0,8232,17135,68.2,54.8
22/02/2025 13:52,3181,6526,276,0,8353,17104,68.2,52.9
22/02/2025 13:57,3186,4686,-115,0,9830,17214,67.8,47.7
22/02/2025 13:57,3186,4686,-21,0,9756,17189,67.8,47.7
22/02/2025 14:02,3173,7231,372,0,7456,17424,68.5,59.4
22/02/2025 14:02,3173,7231,394,0,7591,17458,68.5,56.9
22/02/2025 14:07,3181,5974,114,0,8904,17724,68.2,51.1
22/02/2025 14:07,3181,5974,-228,0,8896,17757,68.2,52.9
22/02/2025 14:12,3177,6721,-135,0,8131,17704,68.7,57.2
22/02/2025 14:12,3177,6721,-85,0,8117,17569,68.7,58.2
22/02/2025 14:17,3183,5481,-489,0,9712,18072,68.5,52.2
22/02/2025 14:17,3183,5481,-455,0,9431,18074,68.5,53.2
22/02/2025 14:22,2243,11158,-291,0,6168,18077,68.3,72.6
22/02/2025 14:22,2243,11158,-240,0,6152,18231,68.3,70.3
22/02/2025 14:27,3174,7707,587,0,7343,18045,68.7,59.5
22/02/2025 14:27,3174,7707,373,0,7545,17912,68.7,58.1
22/02/2025 14:32,3176,6243,425,0,8736,17955,68.5,50.9
22/02/2025 14:32,3176,6243,308,0,8734,18021,68.5,51.2
22/02/2025 14:37,3187,5845,-239,0,9126,17878,67.7,51.9
22/02/2025 14:37,3187,5845,-381,0,9063,17814,67.7,53.2
22/02/2025 14:42,3178,5409,189,0,9024,17549,68.5,49.4
22/02/2025 14:42,3178,5409,-94,0,9079,17443,68.5,50
22/02/2025 14:47,3177,5558,189,0,9231,17822,67.7,49.6
22/02/2025 14:47,3177,5558,278,0,9262,17907,67.7,49.6
22/02/2025 14:52,3175,8244,-46,0,7992,18727,67.5,60.3
22/02/2025 14:52,3175,8244,79,0,7992,18713,67.5,60.3
22/02/2025 14:57,3179,7241,-180,0,8993,18626,66.8,55.6
22/02/2025 14:57,3179,7241,-273,0,8874,18534,66.8,55.6
22/02/2025 15:02,3165,6133,617,0,9485,18365,67.7,47.2
22/02/2025 15:02,3165,6133,764,0,9573,18651,67.7,47.2
22/02/2025 15:07,3176,6349,-121,0,9282,18347,66.7,52.7
22/02/2025 15:07,3176,6349,1,0,9252,18433,66.7,52.7
