Timestamp,Solar_kW,Wind_kW,Battery_kW,Diesel_kW,Resistors_kW,Flywheel_kW,Load_Output_kW,Battery_Percent,Renewable_Percent
2025-02-13 23:19:45,-0.3,2211.7,-6.0,0.0,833.0,-179.1,1412.9,87.0,100.0
2025-02-13 23:24:47,-0.3,2254.6,-18.0,0.0,882.0,-51.8,1331.7,87.0,100.0
2025-02-13 23:25:44,0,2249.7,-6.0,0.0,858.0,-95.9,1361.3,87.0,100.0
2025-02-15 10:16:41,673.2,421.4,-16.0,0.0,150.0,-78.5,950.5,86.0,100.0
2025-02-15 10:21:44,582.7,1343.4,-16.0,0.0,965.0,-2.2,1031.0,86.0,100.0
2025-02-15 10:26:48,277.1,1540.3,-16.0,0.0,877.0,-158.6,1102.4,86.0,100.0
2025-02-15 10:31:51,713.9,843.7,-16.0,0.0,661.0,-49.1,921.2,86.0,100.0
2025-02-15 10:36:55,199.4,1583.3,-4.0,0.0,917.0,-54.6,929.4,87.0,100.0
2025-02-15 10:41:58,773.5,1071.3,-7.0,0.0,911.0,-73.3,840.3,86.0,100.0
2025-02-15 10:47:01,599.9,1181.1,-6.0,0.0,932.0,-80.7,845.6,86.0,100.0
2025-02-15 10:52:05,476.8,1370.2,-15.0,0.0,971.0,-66.3,868.0,86.0,100.0
2025-02-15 10:57:08,813.4,1059.3,-6.0,0.0,865.0,-92.4,870.4,87.0,100.0
2025-02-15 11:02:12,663.2,1173.2,-4.0,0.0,936.0,-94.4,838.8,87.0,100.0
2025-02-15 11:07:15,10.6,1737.9,-4.0,0.0,954.0,-126.7,764.0,87.0,100.0
2025-02-15 11:12:18,788.0,1062.9,-4.0,0.0,1021.0,-38.2,936.2,87.0,100.0
2025-02-15 11:17:21,486.4,1274.0,-7.0,0.0,876.0,-44.5,801.8,87.0,100.0
2025-02-15 11:22:25,418.3,1336.1,-15.0,0.0,877.0,-103.8,888.9,86.0,100.0
2025-02-15 11:27:28,461.6,1285.0,-16.0,0.0,989.0,-105.7,883.7,87.0,100.0
2025-02-15 11:32:31,547.5,1256.8,-15.0,0.0,975.0,-53.2,878.3,87.0,100.0
2025-02-15 11:37:34,1003.2,779.5,-6.0,0.0,900.0,-100.3,882.7,87.0,100.0
2025-02-15 11:42:37,331.7,1412.9,-6.0,0.0,866.0,-19.2,821.7,87.0,100.0
