Timestamp,Solar_kW,Battery_kW,Diesel_kW,Load_Output_kW,Battery_Percent,Renewable_Percent
2025-02-13 23:26:48,0,-10.9,1180.9,1132.6,20.5,0.0
2025-02-15 10:16:57,721.0,526.0,0.0,1227.3,29.5,100.0
2025-02-15 10:22:00,965.0,306.9,0.0,1258.2,28.5,100.0
2025-02-15 10:27:03,1125.0,159.7,0.0,1277.8,28.0,100.0
2025-02-15 10:32:06,2657.0,-1416.7,0.0,1256.9,28.0,100.0
2025-02-15 10:37:10,2827.0,-1559.3,0.0,1282.6,30.5,100.0
2025-02-15 10:42:12,2897.0,-1557.7,0.0,1326.8,32.5,100.0
2025-02-15 10:47:15,1392.0,-55.5,0.0,1333.7,34.5,100.0
2025-02-15 10:52:19,2859.0,-1528.8,0.0,1341.4,35.5,100.0
2025-02-15 10:57:22,1710.0,-346.8,0.0,1366.0,36.5,100.0
2025-02-15 11:02:26,2807.0,-1482.4,0.0,1320.1,38.5,100.0
2025-02-15 11:07:29,2930.0,-1560.8,0.0,1370.4,41.0,100.0
2025-02-15 11:12:32,1772.0,-379.6,0.0,1392.7,42.5,100.0
2025-02-15 11:17:35,2167.0,-753.7,0.0,1413.2,43.5,100.0
2025-02-15 11:22:38,1875.0,-454.9,0.0,1399.3,44.5,100.0
2025-02-15 11:27:41,1685.0,-306.2,0.0,1368.6,46.0,100.0
2025-02-15 11:32:44,1273.0,157.4,0.0,1420.4,46.0,100.0
2025-02-15 11:37:48,1222.0,198.4,0.0,1404.5,46.0,100.0
2025-02-15 11:42:50,1261.0,213.6,0.0,1467.1,46.0,100.0
2025-02-15 11:47:53,1282.0,62.5,0.0,1358.4,46.0,100.0
2025-02-15 11:52:56,1427.0,-62.1,0.0,1338.3,46.0,100.0
2025-02-22 13:48:36,1867.0,-0.8,0.0,1841.9,95.5,100.0
2025-02-22 13:50:23,1869.0,0.0,0.0,1845.1,95.5,100.0
2025-02-22 13:55:23,1923.0,1.6,0.0,1909.6,95.0,100.0
2025-02-22 14:00:23,1883.0,-1.6,0.0,1869.7,95.0,100.0
2025-02-22 14:05:24,1855.0,-0.8,0.0,1845.9,95.0,100.0
2025-02-22 14:10:24,1904.0,0.0,0.0,1887.6,94.5,100.0
2025-02-22 14:15:24,1238.0,705.6,0.0,1892.5,94.5,100.0
